소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
치즈,8809741900141,더맘 수제치즈 할루미,더맘 유가공연구소,60,70.0
소시지,8809335380168,스윗치즈닭가슴살소시지,(주)허스델리,40,7.0
육류,8809337220523,서라벌 화그락양념막창,(주)서라벌푸드,360,180.0
육류,8809366355173,돼지막창,(주)달구지푸드,360,180.0
치즈,8809316150407,냉동까몽내츄럴피자100,(주)본델,180,70.0
육류,8809416720128,오리간장양념불고기,주식회사 맘씨,360,180.0
우유,8809627100221,마루터 목장 우유,마루터 치즈,10,45.0
우유,8801115114277,목장의신선함이살아있는우유(수출용),서울우유협동조합 안산공장,15,45.0
치즈,8809524630616,스트링치즈,(주)이스트밸리,90,70.0
두부,8809358460076,생명물두부 부침용,신앙촌소비조합주식회사,14,90.0
우유,8801157490506,후디스 청정목장 우유,일동후디스(주)횡성유가공공장,15,45.0
육류,8809739710004,참 편육,(주)산마루미트,40,180.0
육류,8809528430397,만복홍유돼지귀,(주)성신푸드,360,180.0
소시지,8809665550101,후레쉬프랑크 비프,(주)아워홈,42,7.0
육류,8809732340222,훈제소막창,(주)달구지푸드,365,180.0
묵,8803606000120,한둘 국산 도토리묵,농업회사법인 한둘 주식회사,13,0.0
육류,8809535940421,직화불곱창,농업회사법인 주식회사 제이원푸드,360,180.0
육류,8809582320306,장인알곱창매콤직화,농업회사법인(주)대광,360,180.0
육류,8809269770011,돼지고추장불고기,푸드스토아,15,180.0
소시지,8801068392159,육즙가득부어스트바질,(주)에스피씨삼립 서천공장,30,7.0
소시지,8809013407750,카바노치스낵,에쓰푸드(주),360,7.0
육류,8809521180275,직화 매운 불닭,다솔푸드,360,180.0
육류,8809430223216,명품고추장불고기,(주)케이프라이드,10,180.0
김치,195313000059,BONGHWA HANBANG PA KIMCHI,봉화청량산김치 농업회사법인(주),180,180.0
햄,8809389595471,촉촉한U황닭가슴살 마늘겨자맛,(주) 오성푸드,360,7.0
소시지,8801007348322,맥스봉 크레이지핫핫바,(주)소디프비앤에프,35,7.0
우유,8806371309436,1A우유,(주) 푸르밀,15,45.0
육류,8809408251913,닭날개꼬치,(주)마루종합식품,214,180.0
육류,8809563420506,우리동산불막창,농업회사법인(주)대광,360,180.0
김치,8809613520170,진미네 명품김치,농업회사법인(주)제이엠푸드2,180,180.0
김치,195313000073,BONGHWA HANBANG KKAKDUGI,봉화청량산김치 농업회사법인(주),180,180.0
육류,8809381671319,Largo Kitchen Spicy Pork Intestine,성신식품,60,180.0
김치,8809776970119,갓김치,명가식품,180,180.0
어묵,8803404002623,치즈어묵바,(주)효성어묵,50,3.0
어묵,8802249601541,해지촌 듬뿍 담은 부산어묵,(주)남부식품,720,3.0
소시지,8801007513812,동그랑땡,씨제이제일제당(주),90,7.0
육류,8809248071139,핫 양념 오리갈비,(주)대신푸드글로벌,15,180.0
